-47109,-52457,-56417,-87826,-19046,-19965,-19988,-18828,-22574,-18974,-17423,-17319,-14974,-18503,-19828,-21421,-23162,-21282,-22662,-22015,-20835
-47012,-52531,-56342,-88112,-19560,-20726,-20491,-19270,-22997,-19111,-17596,-17310,-15569,-18745,-20095,-21786,-23598,-21393,-22758,-21761,-21125
-46999,-52576,-56289,-88245,-19789,-21246,-20825,-19524,-23108,-19323,-17919,-17690,-15919,-19260,-20750,-22062,-23930,-21694,-22682,-21309,-21522
-47101,-52592,-55979,-88233,-20712,-21768,-20964,-20043,-23196,-19630,-18052,-18065,-16234,-19799,-21328,-22425,-23915,-21683,-22606,-21409,-21586
-46842,-52310,-55964,-88431,-21174,-22406,-20523,-20907,-23370,-19990,-18180,-18641,-16359,-20248,-22290,-22729,-23700,-21907,-22463,-21557,-21734
-46613,-52273,-55914,-88562,-21524,-22539,-20573,-21562,-23890,-20556,-18530,-19167,-16434,-20960,-23108,-23151,-23717,-21880,-22760,-21492,-21779
-46551,-52192,-55856,-88718,-21988,-23003,-20643,-22097,-24204,-20951,-18873,-20163,-16690,-21784,-23905,-23141,-23608,-21811,-22694,-21694,-21675
-46540,-51723,-55497,-89082,-21957,-23335,-21026,-22405,-25063,-21376,-19203,-20742,-17529,-22306,-24637,-23005,-23695,-21827,-22476,-21820,-21643
-46564,-51473,-55178,-89127,-21777,-23499,-21969,-22469,-25687,-21585,-19855,-21290,-18451,-22749,-24970,-22980,-23724,-21815,-22177,-21769,-21095
-46694,-51055,-55097,-88993,-21496,-23782,-22705,-22812,-26833,-21756,-20473,-21913,-19485,-22917,-25478,-22557,-23640,-21585,-22015,-21584,-20520
-46614,-50740,-55139,-88833,-21414,-23547,-24057,-23562,-27642,-22384,-21219,-22606,-20184,-23092,-25782,-22467,-23454,-21609,-21876,-21074,-19891
-46372,-50651,-55008,-88758,-21615,-23783,-24827,-24287,-28635,-23253,-22284,-23194,-21002,-23341,-25997,-22320,-23217,-21371,-21506,-21049,-19541
-45985,-50264,-55122,-88710,-21578,-23986,-25061,-25261,-29619,-24259,-23151,-23925,-21863,-23742,-25491,-22382,-22816,-21116,-21224,-21062,-19322
-45607,-50084,-54905,-88681,-21440,-23976,-25377,-26140,-30518,-25227,-24298,-25006,-22271,-24525,-25547,-22254,-22244,-20904,-20992,-21123,-19529
-45465,-49680,-54877,-88399,-21100,-24098,-25382,-26851,-31209,-26469,-25590,-25968,-23126,-25130,-25545,-22212,-22180,-20446,-20656,-21095,-19403
-45191,-49801,-54899,-88458,-20668,-23859,-25195,-27173,-32001,-27521,-26983,-27219,-23641,-25651,-25130,-22212,-21692,-20020,-20397,-21023,-19299
-44887,-49628,-54911,-88235,-20383,-23484,-25070,-27474,-32651,-28634,-28179,-28243,-24583,-25940,-25304,-22008,-21494,-19648,-20474,-20622,-19043
-45073,-49497,-54550,-87856,-19906,-23322,-24944,-27354,-33101,-29903,-29146,-29065,-25145,-25827,-24965,-21583,-21577,-19435,-20132,-20458,-18714
-44933,-49389,-53726,-87519,-19411,-22800,-24946,-26871,-33737,-30768,-30178,-29610,-25070,-25153,-24711,-21279,-21182,-19467,-19924,-20144,-18827
-44636,-49482,-53319,-87033,-18788,-22500,-24710,-26512,-34065,-31848,-31403,-30024,-25025,-24506,-24154,-20740,-20683,-19073,-19848,-19432,-18489
-44578,-49504,-53215,-86441,-18581,-22104,-24246,-26411,-34230,-32373,-32211,-30169,-24810,-23631,-23459,-20217,-20483,-19079,-19823,-18980,-18338
-44326,-49441,-53046,-86052,-18243,-21596,-23920,-25973,-33957,-32612,-32482,-29694,-24061,-22797,-22586,-19818,-19963,-18900,-19521,-18507,-17984
-44305,-49439,-53391,-85492,-17965,-21275,-23472,-25765,-33055,-32429,-31936,-28937,-22973,-21832,-21774,-19342,-19363,-18954,-19557,-18276,-17882
-44424,-49433,-53321,-85181,-17766,-20855,-22747,-25281,-31821,-31344,-30665,-27108,-21702,-20837,-20879,-18795,-19052,-18522,-19509,-18004,-17729
-44452,-49209,-53156,-85069,-17587,-20674,-21783,-24587,-30250,-30101,-28709,-24888,-20086,-19962,-20107,-18032,-18776,-18593,-19266,-17860,-17669
-44373,-49104,-53259,-85154,-17270,-20239,-20977,-23567,-28330,-27525,-25696,-22364,-18113,-18902,-19294,-17494,-18197,-18288,-19109,-17863,-17505
-44193,-48607,-53030,-85175,-16844,-19763,-20037,-22268,-26466,-24876,-22231,-19745,-16242,-17614,-18817,-16877,-17653,-17841,-18802,-17961,-17042
-43831,-48247,-52687,-85135,-16374,-19126,-19400,-20709,-23836,-21772,-18639,-16740,-13869,-16365,-18003,-16529,-17084,-17383,-18688,-17808,-16724
-43547,-47882,-52696,-85244,-16014,-18628,-18457,-19015,-21785,-18442,-14858,-13449,-11760,-15044,-17588,-15918,-16808,-17175,-18447,-17641,-16188
-43130,-47326,-52418,-85111,-15437,-17971,-17701,-17669,-19774,-15406,-11336,-10438,-9366,-13864,-16683,-15396,-16499,-16570,-18209,-17373,-16027
-42941,-47089,-52383,-84837,-14885,-17265,-16918,-16463,-18106,-12060,-8431,-7710,-7275,-12436,-15819,-14908,-15945,-16112,-17642,-16943,-15950
-42837,-46581,-51817,-84277,-14532,-16371,-15865,-15411,-16448,-9736,-5949,-5373,-5451,-11159,-14875,-14345,-15856,-15852,-17189,-16281,-15817
-42563,-46459,-51274,-83845,-14282,-15543,-14880,-14258,-15057,-7705,-4249,-3629,-3834,-9957,-13905,-13937,-15101,-15512,-16619,-15840,-15662
-42396,-46283,-50876,-83668,-13892,-14824,-14158,-13248,-13879,-6421,-2960,-2338,-2861,-8516,-12873,-13179,-14306,-15075,-15998,-15240,-15425
-41831,-46487,-50122,-83312,-13349,-14165,-13213,-12186,-12926,-5772,-2608,-1704,-1783,-7245,-12522,-12733,-13842,-14609,-15450,-15068,-15599
-41627,-46433,-49730,-82884,-12897,-13809,-12423,-11010,-12313,-5624,-2827,-1665,-1091,-6716,-12120,-12326,-13412,-14059,-14964,-14863,-15712
-41471,-46313,-49001,-82746,-12372,-13403,-12021,-10256,-12030,-5847,-3201,-1918,-1095,-6377,-11983,-11671,-12933,-13588,-14872,-14782,-15749
-41224,-46211,-48731,-82526,-11775,-13047,-11248,-9578,-11981,-6361,-3756,-2554,-1091,-6212,-11884,-11265,-12744,-12940,-14485,-15032,-15558
-41375,-46040,-48481,-82547,-11223,-12857,-10699,-9219,-12213,-7060,-4641,-3092,-1167,-6246,-11430,-10770,-12481,-12461,-14240,-14944,-15420
-41516,-45712,-48362,-82300,-10617,-12319,-10197,-9161,-12168,-7424,-5003,-3879,-1717,-6189,-11095,-10574,-12162,-12045,-14285,-14728,-15061
-41308,-45238,-47975,-82118,-10533,-11839,-10072,-9279,-11905,-7731,-5351,-4228,-2318,-6144,-10580,-10300,-11957,-11857,-14198,-14364,-14506
-40800,-44636,-48229,-81990,-9929,-11025,-9800,-9044,-11749,-7950,-5408,-4548,-2857,-5885,-10207,-9733,-11672,-11710,-13969,-13991,-14023
-40357,-44210,-47918,-81809,-9651,-10377,-9595,-8845,-12048,-8052,-5402,-4952,-3423,-5881,-10001,-9188,-11411,-11505,-13843,-13602,-13632
-39848,-43843,-47797,-81364,-9070,-9758,-9423,-8860,-12231,-8078,-5499,-5148,-4053,-5897,-9959,-8698,-10964,-10788,-13679,-13636,-13271
-39490,-43836,-47691,-80970,-8888,-9314,-9229,-9013,-12582,-8491,-5942,-5469,-4255,-6614,-10281,-8178,-10691,-10487,-13366,-13436,-13304
-39405,-43399,-47320,-80896,-8396,-9425,-9070,-9031,-13151,-8989,-6212,-5776,-4150,-6697,-10437,-8340,-10805,-10162,-13069,-13061,-13460
-39252,-43063,-47209,-80644,-7962,-9279,-8923,-9137,-13788,-9287,-6632,-6252,-4120,-6946,-10732,-8322,-10749,-9905,-12671,-12856,-13167
-39229,-42548,-46657,-80266,-7479,-9324,-8821,-9365,-14143,-9508,-7309,-6179,-4402,-7556,-11174,-8438,-10520,-9924,-12138,-12405,-13313
